"nspp","altmed","rangoalt","shannon","tempmin","precip"
45,1177,1369,1.48,-0.7,433.8
54,155,362,2.35,5.1,348.6
47,746,88,0.64,0.6,119
61,881,350,1.74,-0.6,158.2
51,760,124,0.98,1.2,178.7
38,322,899,2.75,4.3,803.2
50,811,769,1.83,-0.8,175.5
59,723,473,1.77,2.2,282.8
41,718,674,2.13,2.2,339.9
51,298,660,1.82,4.4,489.5
45,103,150,1.48,6.6,134
45,816,869,0,4.8,386.6
41,663,411,2.18,3.5,632.1
56,555,352,1.69,2.6,105.1
43,989,266,1.98,-0.8,223
53,366,469,1.62,2.8,523.6
56,765,795,2.59,2.4,379.1
40,1081,488,2.28,3,150
36,1244,440,1.57,-1.5,133
55,981,1124,2.01,6,344.5
64,1219,786,2.09,1.1,181.1
51,1336,904,1.91,-0.3,207.6
47,970,437,2.48,0.1,262.9
46,701,359,1.01,2.3,109.6
39,985,946,1.84,2.3,623.6
53,766,180,2.15,0.4,145.3
29,666,982,1.71,1.5,299.3
48,789,496,1.61,1.4,259.9
54,454,275,1.6,3.1,139.5
58,672,516,2.17,-0.2,146
58,586,95,1.28,2.3,151.9
49,187,564,2.02,4.6,663.5
33,1052,333,1.56,0.1,207
57,866,252,1.76,0.2,176.9
30,940,118,1.66,-0.6,221.8
43,235,371,2.28,4.7,154.4
66,442,484,1.76,4.8,298.5
34,809,76,0.57,0,158.5
36,617,86,1.57,2,185.4
53,740,477,2.1,2.6,224.2
59,1012,678,1.57,-0.3,323.1
62,215,608,1.41,6.6,152.1
44,794,174,1.82,0.4,135.9
45,203,554,1.5,5,594.9
54,159,210,1.4,6.9,112.6
46,1374,834,0.98,1.8,502.9
46,195,420,0.8,6.6,362.8
47,730,104,1.49,1.5,184.5
71,428,308,1.93,4.3,331
85,269,213,2.23,2.8,89.5
34,732,139,0.62,0.3,144
66,565,161,2.01,1.4,131.8
64,686,1106,1.87,6.1,808.6
55,1116,188,1.48,-1.1,132.2
72,230,175,1.46,6.6,334.1
67,861,127,1.53,-0.1,186
55,665,401,1.75,2.8,201.1
32,1359,1020,1.62,-0.2,522.2
73,905,310,1.53,1.9,174.2
60,583,354,1.37,2.2,246.5
43,574,455,1.24,1.8,143.3
69,290,290,2.24,3.4,416.4
39,1,6,0.45,6.9,343.2
48,1085,801,2.16,1.4,252.3
65,768,257,1.89,0.1,204.5
55,860,432,2.1,1.9,370.7
41,252,396,1.79,8.5,165.3
50,88,120,1.9,6.4,116.4
52,423,1323,1.69,7.4,239.6
57,1065,511,2.14,-0.6,240.3
72,144,511,1.98,5.1,600.8
75,422,235,1.49,4.6,247.2
63,731,653,1.29,0.8,141
37,1610,2109,2.17,4.3,293.2
63,534,119,1.11,2.2,189.4
81,448,416,2.34,4.5,278.9
57,698,93,1.62,1.2,130.2
65,780,215,1.83,0.3,149.1
46,569,230,1.68,2,139.9
62,50,71,1.11,8.1,335.5
44,726,119,1.26,0.6,127.7
41,494,290,1.98,2.2,134.3
71,814,149,0.94,0.2,135.7
75,838,165,2.43,1.1,157.6
44,569,447,2.29,1.4,370.5
47,937,451,1.45,-0.1,326.5
61,710,131,1.14,2.1,195.8
37,587,592,0.89,3.1,405.2
50,1262,596,2.23,-0.3,241.4
43,601,923,2.01,4.1,659.8
44,1105,1165,1.98,0.4,306.5
61,614,344,0.96,4.3,208.8
54,783,47,1.24,0.4,120.9
57,630,787,1.78,3.6,354.8
68,482,407,1.22,4,313
49,88,292,2.51,5.6,745.5
57,566,114,1.25,2.2,141.7
51,1006,168,1.13,-1,131.9
57,987,428,1.69,3,231
75,134,228,1.9,6.7,304.2
55,352,511,1.87,4.9,731.9
53,1128,291,1.55,-0.9,139.7
33,1424,336,1.02,-1.1,244
60,636,125,1.39,2,138.1
58,771,469,2.21,1.9,343.4
64,1156,388,1.95,-0.7,130.3
62,338,183,0.92,5.5,250.1
65,736,522,2.04,2.2,249.9
61,749,496,1.94,3.2,268.8
62,642,538,1.76,2.1,158.7
66,993,142,2.1,-1.2,200
43,1151,472,0.92,-0.8,222.4
61,607,342,0.51,1.8,165.5
42,894,237,1.62,1.6,215.4
71,1014,365,2.16,0.4,116.5
35,1563,1058,1.58,-0.1,280.5
44,1049,996,1.78,1.6,509.9
38,1171,605,1.9,2,170.2
39,737,182,1.72,0.7,136.3
51,713,496,1.88,2.6,388.8
66,1,3,1.15,7,330.6
48,963,261,2.42,0.2,243.2
68,348,236,1.64,5.3,727.1
54,591,492,2.12,2.2,484
34,1372,1223,2.2,1.1,535.2
58,629,80,0,3.8,264
62,1003,535,2.07,0.8,94.5
42,912,200,1.44,1.8,206
55,313,383,1.73,5.4,730.6
41,735,136,0.93,1.4,152.6
61,955,429,1.8,2.5,358.1
42,970,195,1.71,-0.3,188.7
56,694,223,1.31,1.8,144.6
52,1048,81,1.58,2,284.3
48,534,608,1.58,6.4,320.4
57,370,572,1.43,4,130.5
69,708,372,2.25,2.1,362.6
47,845,124,1,0.4,124.9
55,153,417,1.12,5.4,146.8
56,1083,247,1.35,-1.1,140.9
69,276,213,1.71,4.8,236.1
47,1232,825,1.91,-0.7,272.3
57,608,401,0.78,1.8,201.8
47,781,356,1.51,1.9,216.7
53,275,576,1.87,5.8,746.9
31,5,52,0.99,7,339
44,139,135,1.55,5.6,107
60,545,1586,2.06,3.7,472.2
44,1305,877,1.62,0.6,457.3
50,1093,263,2.09,-1.3,242.4
33,1068,1193,1.7,1.9,626.3
55,668,94,1.83,1.9,138.5
44,717,56,1.92,1.4,155.5
86,20,43,1.87,7,324.7
32,996,1924,1.54,1.9,547.6
53,575,769,2.12,2.1,455.8
44,334,599,1.6,6.5,97.5
59,67,206,1.59,5.5,725.1
58,511,952,2.36,3.1,417.4
50,750,157,1.15,0.6,165.9
49,980,936,2.24,3.8,317.8
51,836,102,1.44,0.3,149.3
49,815,118,1.01,0.1,162.5
56,98,63,0.36,6.4,343.7
55,665,519,1.87,2,506.1
50,1289,1606,1.91,1,260
40,1575,1400,1.36,-1.1,149.6
43,1039,423,1.98,-1,339.4
60,1247,833,1.9,1.9,301.5
64,656,517,1.73,2.4,237.7
40,93,213,1.43,6.7,322.9
53,917,326,2.12,1.4,96.8
56,61,78,1.07,7.1,350.2
43,554,138,1.41,1.6,124.1
35,688,1610,2.3,3,360.6
57,895,641,0.58,1.7,156.7
46,1350,449,1.47,-1.1,234.8
36,641,13,0.91,1.9,173.2
47,881,146,0.73,0.3,123.6
42,58,522,1.96,7.4,75.5
68,25,69,2.36,7.8,327.1
55,650,151,1.37,0.7,132.6
25,1614,1175,1.66,-1.2,416
