"lon","lat","PrimLand","pasture","cropland","urban","Hmpop","Dep"
30.5,-27.5,0,0.29,0.33,0.01,55.37,0
-71.5,-28.5,0.17,0.11,0,0,3.03,0
-70.5,-28.5,0.65,0.34,0,0,5.12,0
-69.5,-28.5,0.94,0.04,0,0,0.81,0
-68.5,-28.5,0.91,0.01,0,0,0.29,0
-67.5,-28.5,0.89,0.06,0,0,1.44,0
-51.5,-28.5,0.18,0.38,0.27,0,23.61,0
-50.5,-28.5,0.32,0.34,0.19,0,17.06,0
-49.5,-28.5,0.13,0.17,0.43,0.01,61.16,0
15.5,-28.5,0.02,0.01,0,0,0.25,0
16.5,-28.5,0.22,0.4,0,0,0.82,0
17.5,-28.5,0.16,0.71,0,0,0.3,0
18.5,-28.5,0.36,0.6,0,0,0.37,0
19.5,-28.5,0.28,0.67,0,0,0.47,0
23.5,-28.5,0,0.81,0.01,0,4.6,0
25.5,-28.5,0,0.77,0.12,0,3.29,0
26.5,-28.5,0,0.73,0.16,0,18.76,0
27.5,-28.5,0,0.65,0.28,0,20.63,0
28.5,-28.5,0,0.64,0.23,0.01,63.48,0
29.5,-28.5,0,0.49,0.19,0,40.1,0
30.5,-28.5,0,0.43,0.25,0,61.04,0
-71.5,-29.5,0.22,0.14,0,0,23.47,0
-70.5,-29.5,0.8,0.2,0,0,9.68,0
-69.5,-29.5,0.91,0.02,0.02,0,0.57,0
-68.5,-29.5,0.9,0.01,0,0,1.18,0
-67.5,-29.5,0.91,0.01,0,0,4.62,0
-50.5,-29.5,0.35,0.29,0.18,0.01,69.3,0
16.5,-29.5,0,0.05,0,0,19.18,0
17.5,-29.5,0,0.87,0.01,0,4.21,0
24.5,-29.5,0,0.8,0.05,0,4.69,0
25.5,-29.5,0,0.76,0.13,0,3.74,0
26.5,-29.5,0,0.82,0.03,0.01,60.55,0
27.5,-29.5,0,0.7,0.06,0.01,77.24,0
28.5,-29.5,0,0.64,0.15,0,56.19,0
29.5,-29.5,0,0.46,0.12,0,30.54,0
30.5,-29.5,0,0.17,0.21,0.04,324.04,0
-71.5,-30.5,0.35,0.25,0.01,0,34.17,0
-70.5,-30.5,0.79,0.19,0.01,0,7.23,0
-69.5,-30.5,0.85,0.03,0.02,0,0.64,0
-68.5,-30.5,0.87,0.02,0,0,1.68,0
-67.5,-30.5,0.87,0.02,0,0,1.11,0
-64.5,-30.5,0.45,0.39,0.1,0,10.56,0
17.5,-30.5,0,0.54,0.02,0,1.15,0
18.5,-30.5,0,0.91,0.02,0,0.52,0
19.5,-30.5,0,0.91,0,0,0.26,0
20.5,-30.5,0,0.91,0,0,0.4,0
22.5,-30.5,0,0.92,0,0,0.78,0
23.5,-30.5,0,0.92,0.02,0,0.68,0
24.5,-30.5,0,0.83,0.04,0,3.42,0
25.5,-30.5,0,0.77,0.03,0,4.29,0
26.5,-30.5,0,0.82,0,0,5.03,0
27.5,-30.5,0,0.73,0.01,0,31.73,0
28.5,-30.5,0,0.58,0.07,0,44.73,0
29.5,-30.5,0,0.36,0.15,0.01,64.32,0
-71.5,-31.5,0.32,0.25,0.01,0,8.76,0
-70.5,-31.5,0.84,0.14,0,0,5.04,0
-69.5,-31.5,0.86,0.02,0,0,0.69,0
-68.5,-31.5,0.84,0.02,0.01,0.01,49.51,0
-67.5,-31.5,0.82,0.03,0.02,0,3.71,0
-64.5,-31.5,0.27,0.37,0.21,0.03,157.77,0
-63.5,-31.5,0.08,0.29,0.55,0,17.07,0
19.5,-31.5,0,0.88,0.02,0,1.23,0
20.5,-31.5,0,0.92,0,0,0.45,0
21.5,-31.5,0,0.92,0,0,0.32,0
22.5,-31.5,0,0.92,0.01,0,0.27,0
23.5,-31.5,0,0.92,0.02,0,1.83,0
24.5,-31.5,0,0.8,0.04,0,1.48,0
25.5,-31.5,0,0.79,0.03,0,3.29,0
26.5,-31.5,0,0.79,0.01,0,16.17,0
27.5,-31.5,0,0.61,0.04,0,30.29,0
28.5,-31.5,0,0.46,0.11,0.01,81.36,0
-71.5,-32.5,0.22,0.21,0.05,0,144.41,0
-70.5,-32.5,0.75,0.22,0.02,0,24.58,0
-69.5,-32.5,0.73,0.08,0,0,16.36,0
